source_dataset,source_row_id,label_3intent
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1000,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1004,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1006,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1012,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1018,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1023,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1030,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1038,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:104,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1041,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1045,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1046,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1049,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1050,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1054,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1059,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1067,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1071,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1074,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1081,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1082,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1086,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1087,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:109,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1097,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1098,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1099,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:110,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1101,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1104,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1108,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1109,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1112,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1114,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1115,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1116,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1123,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1124,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1126,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1130,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1131,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1134,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1136,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1139,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1140,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1148,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1151,CALL
